Parameters:
Swapping: True
Randomization: True
Time per round: 30
Hard mode: False
Number of clicks: 15
Gradual cell filling: False
Mar_23_22-22_30_21 | 6666INFOplayer16666
Mar_23_22-22_32_01 | 6666INFOplayer26666
Mar_23_22-22_32_34 | 6666SURVEYCOMPLETED@player1@Native language: none given, Main area of study: none given@6666
Mar_23_22-22_32_58 | 6666SURVEYCOMPLETED@player2@Native language: none given, Main area of study: none given@6666
Mar_23_22-22_33_10 | 6666INSTRUCTIONSREAD@player2@6666
Mar_23_22-22_33_28 | 6666INSTRUCTIONSREAD@player1@6666
Mar_23_22-22_33_33 | 6666image-1a.png|||image-1b.png6666
Mar_23_22-22_34_50 | 6666PICimage-1a.png@player1@6666
Mar_23_22-22_36_12 | 6666COORD[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]@player1@Apple@6666
Mar_23_22-22_37_29 | 6666GUESSDog@player2@6666
